"","age","race","gender","educ","pid3","pid7","ideo5","newsint","treatment","Legit_Trust","Legit_Fair","Strong_Exec","Pres_No_Others","Checks_Balances","female"
"1","30-44","White",2,"Some College","Republican",7,"Very Conservative","None","Diverse But Critiqued",0.5,0.5,0.5,0.5,0.5,"Female"
"2","30-44","White",2,"Post-Graduate Degree","Democrat",1,"Very Liberal","High","Diverse",0.333333333333333,0.5,0.5,0.333333333333333,0.333333333333333,"Female"
"3","45-64","Black",2,"Post-Graduate Degree","Democrat",1,"Moderate","Don't Know","Control",0.5,1,0.5,0.5,0.5,"Female"
"4","45-64","White",1,"Post-Graduate Degree","Independent",5,"Conservative","High","Control",0.166666666666667,0.5,0.166666666666667,0.166666666666667,0,"Male"
"5","30-44","White",1,"4-year College Degree","Democrat",2,"Moderate","Medium","Control",0.666666666666667,0.75,0.333333333333333,0.666666666666667,0.333333333333333,"Male"
"6","45-64","White",2,"Some College","Republican",7,"Conservative","Medium","Control",0.666666666666667,0.75,0.666666666666667,0.166666666666667,0.333333333333333,"Female"
"7","65+","Black",1,"4-year College Degree","Democrat",2,"Moderate","High","Diverse But Critiqued",0.666666666666667,0.75,0.666666666666667,0.5,0.166666666666667,"Male"
"8","30-44","White",2,"Post-Graduate Degree","Democrat",1,"Very Liberal","High","Diverse But Critiqued",0.666666666666667,0.25,0.333333333333333,0.333333333333333,0.166666666666667,"Female"
"9","45-64","White",1,"Post-Graduate Degree","Democrat",1,"Very Liberal","High","Diverse",0.666666666666667,0.75,0.333333333333333,0.166666666666667,0.166666666666667,"Male"
"10","65+","White",1,"Post-Graduate Degree","Republican",7,"Very Conservative","High","Control",1,1,1,0.166666666666667,0,"Male"
"11","45-64","White",2,"4-year College Degree","Republican",7,"Conservative","Medium","Diverse But Critiqued",0.333333333333333,0.75,0.666666666666667,0.166666666666667,0,"Female"
"12","65+","White",2,"4-year College Degree","Independent",5,"Moderate","Medium","Control",0.333333333333333,0.5,1,0.5,0.333333333333333,"Female"
"13","65+","White",1,"Some College","Republican",7,"Conservative","High","Diverse",0.333333333333333,0.5,0.666666666666667,0.333333333333333,0.166666666666667,"Male"
"14","65+","White",1,"4-year College Degree","Democrat",1,"Very Liberal","High","Control",0.5,0.5,0.833333333333333,0.166666666666667,0,"Male"
"15","65+","Hispanic",2,"4-year College Degree","Independent",5,"Moderate","High","Diverse",0.5,0.5,0.333333333333333,0.333333333333333,0,"Female"
"16","65+","Black",1,"Post-Graduate Degree","Democrat",1,"Moderate","High","Diverse",0.666666666666667,0.25,1,0,0.166666666666667,"Male"
"17","45-64","Other",1,"Post-Graduate Degree","Independent",5,"Conservative","High","Diverse But Critiqued",0.333333333333333,0.5,0.666666666666667,0,0,"Male"
"18","65+","Black",1,"4-year College Degree","Democrat",1,"Liberal","High","Diverse But Critiqued",0.666666666666667,0.25,0.666666666666667,0.166666666666667,0.166666666666667,"Male"
"19","30-44","White",2,"Post-Graduate Degree","Independent",3,"Moderate","High","Diverse But Critiqued",0.5,0.5,0.166666666666667,0,0.166666666666667,"Female"
"20","65+","White",1,"4-year College Degree","Democrat",2,"Moderate","High","Diverse",0.833333333333333,0.75,0.5,0.166666666666667,0,"Male"
"21","45-64","White",2,"4-year College Degree","Democrat",1,"Liberal","High","Diverse",0.333333333333333,0.75,0.833333333333333,0.666666666666667,0.166666666666667,"Female"
"22","45-64","White",1,"4-year College Degree","Republican",7,"Moderate","High","Diverse",0.666666666666667,0.75,0.666666666666667,0.166666666666667,0,"Male"
"23","45-64","Other",2,"4-year College Degree","Republican",7,"Conservative","High","Diverse",0.333333333333333,0.5,1,0.5,0.166666666666667,"Female"
"24","30-44","White",2,"Some College","Republican",6,"Conservative","Medium","Control",0.333333333333333,0.5,0.5,0.5,0.5,"Female"
"25","30-44","White",1,"Some College","Independent",3,"Very Liberal","High","Diverse But Critiqued",0.666666666666667,0.75,0.166666666666667,0,0,"Male"
"26","65+","White",2,"Post-Graduate Degree","Democrat",2,"Moderate","High","Diverse But Critiqued",0.333333333333333,0.75,1,0.166666666666667,0.166666666666667,"Female"
"27","30-44","White",1,"Post-Graduate Degree","Independent",4,"Liberal","High","Control",0,0,1,0,0,"Male"
"28","65+","White",2,"Some College","Republican",7,"Moderate","Low","Control",0.166666666666667,0.25,0.5,0.5,0.166666666666667,"Female"
"29","65+","White",1,"4-year College Degree","Democrat",1,"Liberal","High","Diverse",0.333333333333333,0.25,0.833333333333333,0.833333333333333,0.166666666666667,"Male"
"30","45-64","White",1,"Post-Graduate Degree","Independent",4,"Moderate","High","Diverse",0,0,0,0.333333333333333,0,"Male"
"31","45-64","Hispanic",2,"Post-Graduate Degree","Democrat",1,"Liberal","High","Control",0.666666666666667,0.75,0.833333333333333,0.166666666666667,0.166666666666667,"Female"
"32","65+","White",2,"4-year College Degree","Democrat",1,"Liberal","High","Control",0.333333333333333,0.75,0.833333333333333,0.5,0.166666666666667,"Female"
"33","45-64","Black",2,"4-year College Degree","Democrat",1,"Moderate","Medium","Control",0.666666666666667,0.75,0.666666666666667,0.166666666666667,0.166666666666667,"Female"
"34","65+","White",2,"4-year College Degree","Democrat",1,"Liberal","High","Control",0.166666666666667,0.25,1,0.333333333333333,0.333333333333333,"Female"
"35","65+","White",2,"2-year College Degree","Republican",7,"Very Conservative","High","Diverse But Critiqued",0.166666666666667,0.5,0.666666666666667,0.666666666666667,0,"Female"
"36","45-64","White",2,"2-year College Degree","Democrat",1,"Very Liberal","High","Diverse",0.333333333333333,0.5,0.666666666666667,0.666666666666667,0.666666666666667,"Female"
"37","45-64","Multiracial",2,"4-year College Degree","Independent",3,"Liberal","Medium","Diverse",0.666666666666667,0.75,0.833333333333333,0,0,"Female"
"38","45-64","White",2,"High School Graduate","Republican",7,"Moderate","Medium","Diverse",0.5,0.25,1,0.666666666666667,0.166666666666667,"Female"
"39","18-29","Hispanic",2,"High School Graduate","Republican",6,"Conservative","Low","Control",0.5,0.75,0.666666666666667,0.5,0.166666666666667,"Female"
"40","65+","White",1,"2-year College Degree","Democrat",1,"Very Liberal","Medium","Control",0.5,0.5,0.666666666666667,0.5,0.333333333333333,"Male"
"41","65+","White",1,"4-year College Degree","Republican",7,"Conservative","High","Diverse But Critiqued",0.5,0.75,0.166666666666667,0,0,"Male"
"42","30-44","White",2,"4-year College Degree","Independent",4,"Very Liberal","Medium","Control",0,0,0.833333333333333,0.666666666666667,0.166666666666667,"Female"
"43","65+","White",2,"Some College","Democrat",1,"Moderate","High","Diverse But Critiqued",0.166666666666667,0,1,0.666666666666667,0,"Female"
"44","65+","White",1,"Post-Graduate Degree","Democrat",1,"Moderate","High","Diverse",0.333333333333333,0.5,0.833333333333333,0.166666666666667,0,"Male"
"45","65+","White",2,"4-year College Degree","Independent",3,"Moderate","High","Diverse",0.666666666666667,0.75,0.5,0.333333333333333,0.333333333333333,"Female"
"46","45-64","White",2,"4-year College Degree","Democrat",1,"Very Liberal","High","Diverse",0.333333333333333,0.25,0.166666666666667,0.333333333333333,0.166666666666667,"Female"
"47","65+","White",1,"Some College","Democrat",1,"Liberal","Low","Diverse But Critiqued",0.666666666666667,0.75,0.833333333333333,0.333333333333333,0.333333333333333,"Male"
"48","65+","White",1,"Post-Graduate Degree","Republican",7,"Conservative","High","Control",0.166666666666667,0.25,0.166666666666667,0.166666666666667,0,"Male"
"49","65+","White",1,"Some College","Republican",7,"Very Conservative","High","Diverse",0.666666666666667,0.75,0.666666666666667,0.333333333333333,0.166666666666667,"Male"
"50","30-44","Hispanic",2,"4-year College Degree","Republican",7,"Very Conservative","Medium","Diverse But Critiqued",0.5,0.5,0.333333333333333,0.5,0.166666666666667,"Female"
"51","65+","White",2,"Some College","Democrat",1,"Moderate","High","Diverse But Critiqued",0.333333333333333,0.25,1,0.666666666666667,0,"Female"
"52","18-29","Asian",1,"4-year College Degree","Democrat",2,"Liberal","Low","Control",0.666666666666667,0.5,1,0.5,0,"Male"
"53","18-29","Hispanic",2,"Less than a High School Diploma","Not Sure",4,"Not Sure","Low","Diverse But Critiqued",0.666666666666667,0.75,0.666666666666667,0.333333333333333,0,"Female"
"54","30-44","White",2,"Post-Graduate Degree","Independent",5,"Moderate","Medium","Diverse But Critiqued",0.333333333333333,0.75,0.333333333333333,0.333333333333333,0,"Female"
"55","65+","White",1,"4-year College Degree","Democrat",1,"Liberal","High","Diverse",0.333333333333333,0.5,0.833333333333333,0.833333333333333,0.166666666666667,"Male"
"56","30-44","White",2,"High School Graduate","Democrat",1,"Very Liberal","Medium","Diverse But Critiqued",1,0.75,0.833333333333333,0.833333333333333,0.333333333333333,"Female"
"57","18-29","White",1,"High School Graduate","Not Sure",8,"Not Sure","Don't Know","Diverse But Critiqued",0.5,0.5,0.5,0.5,0.5,"Male"
"58","18-29","White",1,"4-year College Degree","Independent",3,"Not Sure","High","Diverse",0.333333333333333,0.5,0.5,0.166666666666667,0.166666666666667,"Male"
